,diff,prefix
98,0.010942935943603516,84.69.126.0/24
99,0.011332988739013672,169.242.133.0/24
100,0.007868051528930664,32.26.136.0/24
101,0.009669065475463867,137.193.171.0/24
102,0.00911092758178711,15.207.212.0/24
103,0.012341976165771484,198.206.145.0/24
104,0.009246110916137695,133.138.37.0/24
105,0.005239963531494141,177.207.195.0/24
106,0.009380102157592773,255.9.111.0/24
107,0.008571147918701172,63.103.193.0/24
108,0.009870052337646484,155.105.135.0/24
109,0.010326862335205078,192.236.251.0/24
110,0.009267091751098633,97.171.72.0/24
111,0.008420944213867188,61.251.5.0/24
112,0.00978708267211914,62.218.177.0/24
113,0.011520147323608398,176.73.4.0/24
114,0.008265018463134766,113.203.239.0/24
115,0.009855031967163086,16.254.214.0/24
116,0.00978708267211914,189.122.120.0/24
117,0.009123086929321289,157.178.7.0/24
118,0.011289119720458984,89.216.139.0/24
119,0.011250019073486328,133.79.238.0/24
120,0.009306907653808594,45.104.64.0/24
121,0.009232044219970703,197.136.218.0/24
122,0.008970975875854492,199.107.84.0/24
123,0.009258031845092773,138.160.107.0/24
124,0.004891872406005859,195.52.31.0/24
125,0.005449056625366211,10.148.91.0/24
126,0.007919073104858398,160.174.40.0/24
127,0.01072382926940918,140.75.87.0/24
128,0.011366128921508789,145.56.56.0/24
129,0.00487208366394043,38.222.12.0/24
130,0.008872032165527344,145.113.198.0/24
131,0.011580944061279297,213.100.114.0/24
132,0.00997018814086914,179.62.130.0/24
133,0.010143041610717773,182.79.218.0/24
134,0.009053945541381836,169.38.246.0/24
135,0.013811111450195312,253.240.67.0/24
136,0.009678125381469727,56.182.240.0/24
137,0.008730173110961914,206.206.245.0/24
138,0.009119987487792969,150.23.239.0/24
139,0.012573003768920898,123.111.16.0/24
140,0.008305072784423828,133.129.43.0/24
141,0.007871150970458984,243.92.53.0/24
142,0.009607076644897461,200.104.59.0/24
143,0.003963947296142578,227.10.161.0/24
144,0.0052490234375,61.61.25.0/24
145,0.0043680667877197266,138.33.205.0/24
146,0.009228944778442383,178.246.204.0/24
147,0.009616851806640625,13.98.29.0/24
148,0.010027170181274414,99.116.158.0/24
149,0.010391950607299805,165.15.48.0/24
150,0.010430097579956055,171.149.0.0/24
151,0.011228799819946289,161.137.182.0/24
152,0.007915973663330078,185.172.106.0/24
153,0.0071599483489990234,127.54.121.0/24
154,0.008038043975830078,200.228.200.0/24
155,0.007897138595581055,232.30.127.0/24
156,0.008891820907592773,132.147.58.0/24
157,0.012749910354614258,189.170.78.0/24
158,0.008892059326171875,241.83.216.0/24
159,0.008658885955810547,33.204.25.0/24
160,0.01026606559753418,12.181.52.0/24
161,0.011491060256958008,168.97.241.0/24
162,0.006101131439208984,157.77.218.0/24
163,0.006500959396362305,28.85.244.0/24
164,0.008073091506958008,220.30.159.0/24
165,0.009953975677490234,199.80.4.0/24
166,0.00958704948425293,91.123.129.0/24
167,0.011364936828613281,51.236.216.0/24
168,0.010500907897949219,179.172.186.0/24
169,0.010515928268432617,180.161.165.0/24
170,0.007291078567504883,0.71.38.0/24
171,0.009354114532470703,163.202.181.0/24
172,0.009567975997924805,239.160.16.0/24
173,0.01031804084777832,100.100.227.0/24
174,0.009637117385864258,13.187.185.0/24
175,0.00952911376953125,170.149.154.0/24
176,0.006072998046875,9.7.1.0/24
177,0.007922887802124023,209.244.51.0/24
178,0.010754823684692383,139.193.9.0/24
179,0.009680986404418945,188.204.112.0/24
180,0.008096933364868164,201.109.33.0/24
181,0.004945993423461914,218.63.240.0/24
182,0.007884025573730469,53.200.136.0/24
183,0.00841212272644043,9.209.97.0/24
184,0.007496833801269531,226.70.54.0/24
185,0.007870912551879883,208.9.231.0/24
186,0.009063959121704102,107.82.235.0/24
187,0.009568929672241211,142.117.128.0/24
188,0.009597063064575195,160.50.200.0/24
189,0.010267019271850586,109.251.25.0/24
190,0.009196996688842773,10.76.88.0/24
191,0.00950002670288086,18.239.249.0/24
192,0.009121179580688477,237.122.131.0/24
193,0.011816024780273438,138.86.121.0/24
194,0.009464025497436523,41.78.91.0/24
195,0.009891033172607422,85.157.143.0/24
196,0.009705066680908203,39.249.218.0/24
197,0.01250004768371582,167.230.6.0/24
198,0.009704828262329102,200.17.147.0/24
199,0.010141134262084961,253.38.223.0/24
200,0.00489497184753418,58.10.238.0/24
201,0.009277820587158203,248.59.87.0/24
202,0.008179187774658203,200.227.186.0/24
203,0.010626077651977539,35.180.118.0/24
204,0.009593963623046875,236.95.154.0/24
205,0.010275840759277344,0.116.156.0/24
206,0.011104106903076172,161.172.108.0/24
207,0.009044170379638672,203.13.216.0/24
208,0.008175134658813477,244.211.189.0/24
209,0.010692119598388672,28.179.183.0/24
210,0.009929895401000977,94.79.85.0/24
211,0.012135982513427734,98.14.214.0/24
212,0.008221149444580078,14.125.244.0/24
213,0.010926008224487305,232.106.47.0/24
214,0.008955955505371094,199.128.246.0/24
215,0.012748956680297852,147.160.151.0/24
216,0.008591890335083008,146.101.153.0/24
217,0.007686138153076172,255.116.86.0/24
218,0.0048558712005615234,113.246.108.0/24
219,0.003940105438232422,39.248.139.0/24
220,0.005239963531494141,217.155.13.0/24
221,0.009052038192749023,13.93.91.0/24
222,0.008728981018066406,9.8.228.0/24
223,0.006735086441040039,206.201.174.0/24
224,0.009009122848510742,114.147.110.0/24
225,0.011745929718017578,25.55.209.0/24
226,0.010101795196533203,207.29.203.0/24
227,0.01194906234741211,19.211.125.0/24
228,0.009475946426391602,137.210.16.0/24
229,0.010539054870605469,143.194.100.0/24
230,0.01026606559753418,213.82.239.0/24
231,0.009470939636230469,148.164.138.0/24
232,0.008358001708984375,144.208.33.0/24
233,0.00769805908203125,36.232.71.0/24
234,0.009322881698608398,89.222.122.0/24
235,0.010926008224487305,37.0.36.0/24
236,0.007297992706298828,137.99.163.0/24
237,0.0041658878326416016,230.118.13.0/24
238,0.007494211196899414,209.239.124.0/24
239,0.010111093521118164,237.223.228.0/24
240,0.008949041366577148,4.186.30.0/24
241,0.009121894836425781,63.159.252.0/24
242,0.011909961700439453,211.234.76.0/24
243,0.01146388053894043,219.4.179.0/24
244,0.010015010833740234,69.90.206.0/24
245,0.011232852935791016,126.107.42.0/24
246,0.010090112686157227,51.1.7.0/24
247,0.010684013366699219,131.203.121.0/24
248,0.008872032165527344,31.32.65.0/24
249,0.010262012481689453,58.100.229.0/24
250,0.009802103042602539,101.155.135.0/24
251,0.011239051818847656,94.183.8.0/24
252,0.009038925170898438,213.99.70.0/24
253,0.01001286506652832,172.249.1.0/24
254,0.00755000114440918,207.96.147.0/24
255,0.007152080535888672,164.223.197.0/24
256,0.0052759647369384766,205.119.185.0/24
257,0.00873112678527832,157.114.183.0/24
258,0.009941816329956055,36.122.9.0/24
259,0.011725187301635742,240.155.197.0/24
260,0.00993800163269043,221.203.54.0/24
261,0.011742115020751953,131.9.110.0/24
262,0.010708093643188477,198.17.61.0/24
263,0.011213064193725586,54.198.105.0/24
264,0.010769844055175781,215.250.115.0/24
265,0.010626792907714844,68.46.126.0/24
266,0.010955095291137695,233.75.226.0/24
267,0.009585142135620117,190.140.158.0/24
268,0.0094451904296875,156.82.101.0/24
269,0.009411096572875977,248.131.71.0/24
270,0.005388975143432617,152.103.179.0/24
271,0.007581949234008789,76.215.29.0/24
272,0.009279966354370117,132.127.138.0/24
273,0.009637117385864258,65.91.133.0/24
