,announce_ts,prefix,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
55,1569138740.762,64.180.67.0/24,1569181933.618224,1569181932.892153,1569181931.458976,1569181933.735228,1569181932.938683,1569181931.462252
56,1569139190.238,210.149.141.0/24,1569181933.618224,1569181932.892153,1569181931.666095,1569181933.738537,1569181932.940389,1569181931.669659
57,1569138893.617,137.175.64.0/24,1569181933.618224,1569181932.892153,1569181931.985414,1569181933.801521,1569181932.949789,1569181931.990467
58,1569139091.822,121.45.151.0/24,1569181933.618224,1569181932.892153,1569181932.091807,1569181933.810173,1569181932.949841,1569181932.094893
59,1569138989.147,113.87.218.0/24,1569181933.618224,1569181932.892153,1569181932.304947,1569181933.810173,1569181932.949841,1569181932.30806
60,1569139115.798,41.152.17.0/24,1569181933.618042,1569181932.891867,1569181927.730559,1569181933.624102,1569181932.899053,1569181927.736519
61,1569139128.79,163.245.112.0/24,1569181938.618138,1569181937.892154,1569181933.038596,1569181938.633619,1569181937.900181,1569181933.046766
62,1569139087.477,204.223.120.0/24,1569181938.618138,1569181937.892154,1569181932.932252,1569181938.62231,1569181937.89844,1569181932.937865
63,1569138845.211,85.80.129.0/24,1569181938.618138,1569181937.892154,1569181933.981067,1569181938.633619,1569181937.907896,1569181933.987093
64,1569139063.92,101.4.237.0/24,1569181933.618224,1569181932.892153,1569181931.879037,1569181933.791135,1569181932.949789,1569181931.883415
65,1569139031.207,62.24.86.0/24,1569181938.618138,1569181937.892154,1569181934.196449,1569181938.633639,1569181937.910912,1569181934.199479
66,1569139173.49,138.81.55.0/24,1569181938.618138,1569181937.892154,1569181934.509837,1569181938.642955,1569181937.916605,1569181934.514504
67,1569139073.882,114.125.162.0/24,1569181938.618138,1569181937.892154,1569181935.03001,1569181938.66496,1569181937.916605,1569181935.035997
68,1569138913.753,133.186.167.0/24,1569181938.618138,1569181937.892154,1569181935.243668,1569181938.686359,1569181937.91666,1569181935.249108
69,1569138907.304,34.208.64.0/24,1569181933.618224,1569181932.892153,1569181932.624202,1569181933.819446,1569181932.94992,1569181932.629605
70,1569139106.743,46.130.0.0/24,1569181938.618305,1569181937.892449,1569181936.082865,1569181938.705583,1569181937.925974,1569181936.089051
71,1569138957.641,94.52.45.0/24,1569181938.618305,1569181937.892449,1569181936.189145,1569181938.705632,1569181937.926026,1569181936.19245
72,1569138935.523,26.198.200.0/24,1569181928.617573,1569181927.891636,1569181924.873887,1569181928.691739,1569181927.925622,1569181924.880435
73,1569138997.228,239.229.176.0/24,,,1569181937.141468,,,1569181937.150806
74,1569138833.146,77.179.244.0/24,1569181938.618305,1569181937.892449,1569181937.35439,1569181938.713548,1569181937.926026,1569181937.361075
75,1569139062.459,118.132.67.0/24,1569181938.618305,1569181937.892449,1569181937.461033,1569181938.729476,1569181937.92611,1569181937.466919
76,1569138805.761,255.9.93.0/24,1569181938.618305,1569181937.892449,1569181936.508343,1569181938.713534,1569181937.926026,1569181936.514216
77,1569138865.303,230.9.244.0/24,,,1569181934.087658,,,1569181934.090916
78,1569138954.617,94.76.21.0/24,1569181943.618632,1569181942.892373,1569181938.29126,1569181943.633935,1569181942.900149,1569181938.294295
79,1569138945.275,142.202.134.0/24,1569181943.618632,1569181942.892373,1569181938.495453,1569181943.633951,1569181942.904573,1569181938.500859
80,1569138791.862,105.82.177.0/24,1569181943.618632,1569181942.892373,1569181938.601279,1569181943.63397,1569181942.906557,1569181938.607619
81,1569139152.444,68.211.81.0/24,1569181943.618632,1569181942.892373,1569181939.227054,1569181943.636515,1569181942.915252,1569181939.234191
82,1569138998.998,123.244.148.0/24,1569181943.618632,1569181942.892373,1569181939.430478,1569181943.633994,1569181942.909587,1569181939.438677
83,1569139211.742,189.110.118.0/24,1569181943.618632,1569181942.892373,1569181939.939723,1569181943.641547,1569181942.915252,1569181939.944914
84,1569138962.948,40.148.159.0/24,1569181943.618632,1569181942.892373,1569181940.045899,1569181943.644168,1569181942.915252,1569181940.052136
85,1569139229.071,129.96.129.0/24,1569181943.618847,1569181942.892589,1569181940.87397,1569181943.685663,1569181942.924113,1569181940.8815
86,1569139200.459,104.166.154.0/24,1569181933.618224,1569181932.892153,1569181931.355056,1569181933.732044,1569181932.938611,1569181931.358165
87,1569139181.643,77.20.103.0/24,1569181943.618847,1569181942.892589,1569181941.087071,1569181943.706312,1569181942.924113,1569181941.092109
88,1569138830.958,210.143.122.0/24,1569181943.618632,1569181942.892373,1569181939.014672,1569181943.63397,1569181942.909587,1569181939.021704
89,1569138771.932,7.161.206.0/24,1569181928.617386,1569181927.891432,1569181923.820433,1569181928.640987,1569181927.913974,1569181923.828498
90,1569138872.884,38.113.130.0/24,1569181928.617386,1569181927.891432,1569181924.241824,1569181928.652966,1569181927.9213,1569181924.247642
91,1569139076.378,76.247.170.0/24,1569181943.618847,1569181942.892589,1569181941.905587,1569181943.706364,1569181942.924221,1569181941.91187
92,1569138823.783,232.6.66.0/24,,,1569181942.011689,,,1569181942.017277
93,1569139157.865,202.111.55.0/24,1569181943.618632,1569181942.892373,1569181939.735088,1569181943.641547,1569181942.915252,1569181939.739421
94,1569138897.137,171.136.118.0/24,1569181943.618847,1569181942.892589,1569181942.224571,1569181943.713828,1569181942.928306,1569181942.228221
95,1569138851.022,136.221.205.0/24,1569181943.618847,1569181942.892589,1569181941.801401,1569181943.706342,1569181942.924137,1569181941.808243
