2019-10-01 05:47:04,934 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:47:09,946 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:47:14,959 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:47:19,969 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:47:24,981 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:47:29,994 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:47:35,008 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:47:40,017 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:47:45,031 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:47:50,043 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:47:55,054 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:00,063 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:05,076 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:10,085 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:15,093 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:20,102 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:25,111 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:30,119 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:35,134 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:40,143 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:45,151 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:48:50,161 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:48:55,170 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:00,182 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:05,193 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:10,202 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:15,211 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:20,223 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:25,232 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:30,245 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:35,255 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:40,263 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:45,272 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:49:50,281 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:49:55,290 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:00,298 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:05,309 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:10,322 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:15,330 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:20,339 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:25,349 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:30,360 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:35,370 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:40,379 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:45,384 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:50:50,394 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:50:55,402 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:00,415 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:05,424 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:10,434 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:15,444 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:20,457 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:25,466 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:30,472 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:35,480 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:40,487 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:45,498 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:51:50,509 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:51:55,522 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:00,537 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:05,550 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:10,564 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:15,579 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:20,592 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:25,601 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:30,612 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:35,626 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:40,639 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:45,648 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:52:50,660 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:52:55,668 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:53:00,677 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:53:05,688 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:53:10,700 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:53:15,714 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:53:20,722 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:53:25,732 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:53:30,742 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:53:35,753 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
