2019-10-01 09:32:32,990 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:32:43,006 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:32:53,021 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:33:03,035 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:33:13,050 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:33:23,064 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:33:33,079 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:33:43,094 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:33:53,109 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:34:03,124 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:34:13,137 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
