2019-09-24 17:46:14,860 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:46:19,868 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:46:24,878 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:46:29,886 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:46:34,894 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:46:39,902 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:46:44,910 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:46:49,921 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:46:54,929 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:46:59,934 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:04,942 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:47:09,951 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:14,961 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:47:19,970 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:24,979 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:47:29,991 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:34,999 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:47:40,007 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:45,015 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:47:50,023 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:47:55,028 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:00,036 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:05,061 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:10,069 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:15,077 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:20,086 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:25,094 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:30,102 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:35,111 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:40,121 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:45,129 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:48:50,137 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:48:55,146 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
