2019-10-13 22:58:27,179 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:58:42,201 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:58:57,206 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:59:12,227 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:59:27,248 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:59:42,270 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:59:57,292 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:00:12,312 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:00:27,331 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:00:42,351 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:00:57,376 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:01:12,394 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:01:27,414 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:01:42,431 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:01:57,451 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:02:12,471 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:02:27,492 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:02:42,511 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:02:57,531 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:03:12,553 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:03:27,573 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:03:42,597 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:03:57,616 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:04:12,640 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:04:27,652 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:04:42,673 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:04:57,697 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:05:12,710 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:05:27,724 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:05:42,732 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:05:57,752 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:06:12,773 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 23:06:27,794 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 23:06:42,815 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
