2019-09-30 17:17:25,604 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:17:30,612 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:17:35,620 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:17:40,628 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:17:45,636 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:17:50,644 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:17:55,653 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:00,661 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:05,669 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:10,681 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:15,688 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:20,694 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:25,702 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:30,725 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:35,734 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:40,742 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:45,748 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:18:50,756 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:18:55,765 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:19:00,773 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:05,781 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
