2019-09-23 18:25:24,129 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:29,145 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:25:34,158 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:39,167 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:25:44,175 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:49,184 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:25:54,194 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:59,203 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:04,226 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:09,229 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:14,238 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:19,247 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:24,257 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:29,265 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:34,274 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:39,282 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:44,292 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:49,300 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:26:54,306 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:26:59,314 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:04,322 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:09,330 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:14,338 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:19,346 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:24,355 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:29,363 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:34,373 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:39,381 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:44,389 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:49,398 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:27:54,412 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:27:59,423 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:04,431 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:09,438 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:14,446 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:19,455 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:24,464 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:29,473 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:34,481 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:39,495 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:44,504 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:49,513 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:28:54,524 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:28:59,532 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:29:04,541 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:09,550 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:29:14,559 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:19,570 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:29:24,579 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:29,589 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
