2019-10-01 07:44:32,336 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:37,344 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:44:42,354 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:47,362 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:44:52,375 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:57,389 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:02,404 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:45:07,418 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:12,433 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:45:17,441 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:22,456 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:45:27,466 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:32,474 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:45:37,486 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:42,502 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:45:47,515 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:45:52,523 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
