2019-10-13 14:53:34,975 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:53:49,996 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:54:05,016 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:54:20,034 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:54:35,052 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:54:50,072 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:55:05,093 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:55:20,116 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:55:35,134 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:55:50,154 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
