2019-10-14 18:56:50,236 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:57:05,252 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:57:20,274 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:57:35,296 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:57:50,315 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:58:05,337 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:58:20,344 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:58:35,352 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:58:50,373 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:59:05,392 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:59:20,400 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:59:35,422 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:59:50,444 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:00:05,463 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:00:20,482 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:00:35,488 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:00:50,496 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:01:05,514 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:01:20,534 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:01:35,553 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:01:50,570 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:02:05,589 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:02:20,604 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:02:35,624 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:02:50,642 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:03:05,665 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:03:20,685 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:03:35,707 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:03:50,731 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:04:05,753 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:04:20,776 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:04:35,798 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:04:50,812 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:05:05,830 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:05:20,853 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:05:35,871 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:05:50,892 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:06:05,917 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:06:20,934 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:06:35,957 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:06:50,977 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:07:05,999 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:07:21,021 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:07:36,045 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:07:51,065 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:08:06,084 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:08:21,102 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 19:08:36,121 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 19:08:51,139 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
