2019-10-01 19:48:52,921 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:49:07,934 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:49:22,953 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:49:37,962 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:49:52,981 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:50:07,992 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:50:23,008 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:50:38,020 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:50:53,044 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:51:08,060 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:51:23,082 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:51:38,105 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:51:53,124 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:52:08,145 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:52:23,170 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:52:38,192 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:52:53,219 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:53:08,237 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:53:23,252 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:53:38,275 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:53:53,296 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:54:08,318 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:54:23,332 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:54:38,356 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:54:53,377 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:55:08,403 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:55:23,420 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:55:38,434 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
