2019-10-15 21:37:02,032 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:37:17,056 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:37:32,077 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:37:47,100 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:38:02,118 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:38:17,140 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:38:32,164 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:38:47,184 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:39:02,207 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:39:17,231 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:39:32,253 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:39:47,272 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:40:02,291 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:40:17,311 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:40:32,329 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:40:47,347 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:41:02,367 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:41:17,385 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:41:32,405 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:41:47,425 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:42:02,434 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
