2019-09-24 18:33:52,954 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:57,966 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:02,974 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:07,985 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:12,997 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:18,005 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:23,010 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:28,018 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:33,030 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:38,038 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:43,047 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:48,057 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:34:53,066 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:34:58,079 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:03,087 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:08,098 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:13,106 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:18,115 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:23,127 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:28,140 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:33,149 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:38,162 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:43,194 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:48,210 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:35:53,218 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:35:58,230 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:03,244 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:08,255 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:13,264 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:18,276 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:23,283 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:28,296 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:33,304 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:38,315 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:43,329 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:48,337 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:36:53,346 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:36:58,352 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:03,366 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:08,375 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:13,390 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:18,401 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:23,412 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:28,423 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:33,434 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:38,440 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:43,448 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:48,456 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:37:53,465 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:37:58,477 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:38:03,486 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:08,495 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:38:13,507 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:18,517 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:38:23,525 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:28,533 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
